State,District,Block,total_recharge_ham,annual_extractable_resource_ham,total_extraction_ham,stage_of_extraction_pct,category
35,603,6498,12270,8790,5669,64.49,Safe
35,603,6499,5860,5401,4354,80.61,Semi-Critical
35,603,6500,10390,8363,4665,55.78,Safe
35,632,6492,18418,15180,6761,44.54,Safe
35,632,6495,10191,9469,7936,83.81,Semi-Critical
35,632,6497,16964,15167,10492,69.18,Safe
35,602,6493,16284,11930,9970,83.57,Semi-Critical
35,602,6494,10734,9031,4943,54.73,Safe
35,602,6496,11265,9130,5816,63.7,Safe
28,502,4686,5466,4915,3898,79.31,Semi-Critical
28,502,4687,18526,16322,13305,81.52,Semi-Critical
28,502,4688,9426,8225,5433,66.05,Safe
28,502,4689,10578,8305,4950,59.6,Safe
28,502,4690,19423,17504,10355,59.16,Safe
28,502,4691,16636,11863,6195,52.22,Safe
28,502,4692,16363,12107,7600,62.77,Safe
28,502,4693,16111,12629,6814,53.96,Safe
28,502,4694,13322,9581,8083,84.36,Semi-Critical
28,502,4695,6685,5072,4049,79.83,Semi-Critical
28,502,4696,5769,5235,3495,66.76,Safe
28,502,4697,15583,14602,9171,62.81,Safe
28,502,4698,18803,14593,8264,56.63,Safe
28,502,4700,11949,9154,7092,77.47,Semi-Critical
28,502,4699,7433,5723,5970,104.32,Over-Exploited
28,502,4701,10311,7933,6980,87.99,Semi-Critical
28,502,4702,10051,7125,6562,92.1,Critical
28,502,4703,11420,10640,10470,98.4,Critical
28,502,4704,6184,4659,3010,64.61,Safe
28,502,4705,9555,7691,3414,44.39,Safe
28,502,4706,8385,5889,4921,83.56,Semi-Critical
28,502,4707,17309,15828,8421,53.2,Safe
28,502,4708,11396,10060,8031,79.83,Semi-Critical
28,502,4709,18035,16893,15501,91.76,Critical
28,502,4710,16096,14412,13670,94.85,Critical
28,502,4711,13666,10637,6502,61.13,Safe
28,502,4712,14274,10876,8251,75.86,Semi-Critical
28,502,4713,7558,6608,5515,83.46,Semi-Critical
28,502,4714,12849,10163,9895,97.36,Critical
28,502,4715,7047,5930,5532,93.29,Critical
28,502,4716,7747,5435,5932,109.14,Over-Exploited
28,502,4717,14167,10136,4111,40.56,Safe
28,502,4718,14998,12505,8831,70.62,Semi-Critical
28,502,4719,5189,4366,2528,57.9,Safe
28,502,4720,7734,6866,3322,48.38,Safe
28,502,4721,8005,5867,6090,103.8,Over-Exploited
28,502,4722,9658,7999,8787,109.85,Over-Exploited
28,502,4723,6899,5164,2718,52.63,Safe
28,502,4724,12734,9210,3931,42.68,Safe
28,502,4725,6267,5030,2980,59.24,Safe
28,502,4726,6528,4836,4760,98.43,Critical
28,502,4727,16394,12384,7501,60.57,Safe
28,502,4728,8556,6668,2932,43.97,Safe
28,502,4729,8890,6799,2969,43.67,Safe
28,502,4730,13838,9989,6984,69.92,Safe
28,502,4731,19356,13984,14715,105.23,Over-Exploited
28,502,4732,16080,12032,7220,60.01,Safe
28,502,4733,19502,13897,9714,69.9,Safe
28,502,4734,10393,8902,4195,47.12,Safe
28,502,4735,15627,12061,8991,74.55,Semi-Critical
28,502,4736,13792,10618,9424,88.75,Semi-Critical
28,502,4737,15555,12179,7183,58.98,Safe
28,502,4738,15253,13204,8024,60.77,Safe
28,502,4739,13433,12326,12195,98.94,Critical
28,502,4740,15233,13553,5519,40.72,Safe
28,502,4741,16016,14124,11942,84.55,Semi-Critical
28,502,4742,12513,10274,6942,67.57,Safe
28,502,4743,7612,6648,4047,60.88,Safe
28,502,4744,12041,10092,8682,86.03,Semi-Critical
28,502,4745,14555,10975,10802,98.42,Critical
28,502,4746,11235,8450,6682,79.08,Semi-Critical
28,502,4747,10486,8117,3423,42.17,Safe
28,502,4748,12099,11224,8114,72.29,Semi-Critical
28,503,4750,14670,12276,8886,72.39,Semi-Critical
28,503,4751,15748,13912,10860,78.06,Semi-Critical
28,503,4749,5775,4542,3950,86.97,Semi-Critical
28,503,4752,17206,13797,5705,41.35,Safe
28,503,4753,13226,9673,7268,75.14,Semi-Critical
28,503,4754,19541,14515,11783,81.18,Semi-Critical
28,503,4755,8152,7392,4733,64.03,Safe
28,503,4756,15147,12817,11123,86.78,Semi-Critical
28,503,4757,6585,5165,2890,55.95,Safe
28,503,4758,8943,8055,5011,62.21,Safe
28,503,4759,12555,9562,10268,107.38,Over-Exploited
28,503,4760,8073,7620,4904,64.36,Safe
28,503,4761,6021,4733,3041,64.25,Safe
28,503,4762,16653,13061,10670,81.69,Semi-Critical
28,503,4764,15805,12295,13274,107.96,Over-Exploited
28,503,4765,18417,13454,14640,108.82,Over-Exploited
28,503,4766,8843,6435,5185,80.57,Semi-Critical
28,503,4767,12989,11196,4486,40.07,Safe
28,503,4768,14692,13498,13909,103.04,Over-Exploited
28,503,4769,17990,16148,12904,79.91,Semi-Critical
28,503,4763,19737,14512,9522,65.61,Safe
28,503,4770,11873,9930,9735,98.04,Critical
28,503,4771,10675,7754,5271,67.98,Safe
28,503,4772,5161,3671,1555,42.36,Safe
28,503,4773,9297,8033,7830,97.47,Critical
28,503,4774,15173,12651,9894,78.21,Semi-Critical
28,503,4775,5995,4319,2749,63.65,Safe
28,503,4776,19605,13894,7997,57.56,Safe
28,503,4777,18103,17151,13989,81.56,Semi-Critical
28,503,4778,16534,11697,6382,54.56,Safe
28,503,4779,17743,14391,9018,62.66,Safe
28,503,4780,12629,10433,8821,84.55,Semi-Critical
28,503,4781,16990,12391,12602,101.7,Over-Exploited
28,503,4782,14467,10738,8300,77.3,Semi-Critical
28,503,4783,6016,4740,4414,93.12,Critical
28,503,4784,12869,11458,10703,93.41,Critical
28,503,4785,11439,9457,8180,86.5,Semi-Critical
28,503,4786,12892,11080,6338,57.2,Safe
28,503,4787,11863,11225,11300,100.67,Over-Exploited
28,503,4788,12916,11521,8126,70.53,Semi-Critical
28,503,4789,13529,10939,4714,43.09,Safe
28,503,4790,5878,4770,2724,57.11,Safe
28,503,4791,14268,12194,11412,93.59,Critical
28,503,4792,9887,8565,3840,44.83,Safe
